Municipality,Municipal Status,County / Region,Has DC Bylaw,DC Bylaw Name,DC Bylaw Link,Date Enacted,Expiry Date,Expiry Notes,Agricultural Building Exemption,Exemption Wording (Operative Text),Municipality Website
Durham,Upper Tier,Durham,Yes,By-law Number 42-2023,https://www.durham.ca/en/regional-government/resources/By-law-42-2023---Regional-Residential-and-Non-residential-Development-Charges.pdf,2023-06-14,,Until repealed,Yes,2.23 Exemptions (a) agricultural uses and farm buildings.,http://www.durham.ca/
Dutton-Dunwich,Lower Tier,Elgin,No,,—,,,,Not Known,,http://www.duttondunwich.on.ca/
Dysart et al,Lower Tier,Haliburton,No,,—,,,,No DC Bylaw,,http://www.dysartetal.ca/
Ear Falls,Single Tier,Kenora,No,,—,,,,No DC Bylaw,,http://www.ear-falls.com/
East Ferris,Single Tier,Nipissing,No,,—,,,,No DC Bylaw,,http://eastferris.ca/
East Garafraxa,Lower Tier,Dufferin,Yes,BY.LAW NUMBER 39-2024,https://www.eastgarafraxa.ca/business-and-development/development-charges/,2024-10-22,2034-10-31,,Yes,"3.9 Other Exemptions (a) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (i) Non-residential farm buildings constructed for bona fide farm uses",http://www.amaranth-eastgary.ca/ta/a_home.htm
East Gwillimbury,Lower Tier,York,Yes,By-law 2024-033 (amended by 2024-053),https://www.eastgwillimbury.ca/en/government/resources/Documents/DevelopmentCharges/2024-DC/2024-053-DC-Amendments-2024.pdf,2024-05-20,,,Yes,"3. Applicable Lands (4) (e) farm buildings, where “farm building” means that part of a bona fide farming operationencompassing to an agricultural use, but excluding a residential use.",http://www.eastgwillimbury.ca/
East Hawkesbury,Lower Tier,Prescott and Russell,No,,—,,,,No DC Bylaw,,http://www.easthawkesbury.ca/
East Zorra-Tavistock,Lower Tier,Oxford,Yes,By-law #2024-21 & #2024-25,https://www.ezt.ca/business-and-development/building-and-renovation/development-charges/,2024-06-05,,until repealed,Yes,3. Applicable Lands (3) This by-law shall not apply to: (a) Farm Buildings as defined herein,https://www.ezt.ca/en/index.aspx
Edwardsburgh-Cardinal,Lower Tier,Leeds and Grenville,No,,—,,,,No DC Bylaw,,http://www.edwardsburghcardinal.ca/
Elgin,Upper Tier,Elgin,No,,—,,,,No DC Bylaw,,http://www.elgin-county.on.ca/
Elizabethtown-Kitley,Lower Tier,Leeds and Grenville,No,,—,,,,No DC Bylaw,,http://www.elizabethtown-kitley.on.ca/
Elliot Lake,Single Tier,Algoma,No,,—,,,,No DC Bylaw,,http://www.cityofelliotlake.com/
Emo,Single Tier,Rainy River,No,,—,,,,No DC Bylaw,,http://www.twspemo.on.ca/
Englehart,Single Tier,Timiskaming,No,,—,,,,No DC Bylaw,,http://www.englehart.ca/
Enniskillen,Lower Tier,Lambton,No,,—,,,,No DC Bylaw,,http://www.enniskillen.ca/
Erin,Lower Tier,Wellington,Yes,By-Law # 24-35,https://pub-erin.escribemeetings.com/filestream.ashx?DocumentId=15312,2024-06-27,2034-06-27,"EXPIRES 2034, UNLESS REPEALED",Yes,"SEE SECTION 3.10 c) c) the development of non-residential farm buildings constructed for bona fide farm uses, which qualify as a farm business, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class;",http://www.erin.ca/
Espanola,Single Tier,Sudbury,No,,—,,,,No DC Bylaw,,https://www.espanola.ca/
Essa,Lower Tier,Simcoe,Yes,BY-LAW NO. 2023-32 (amended by 2024-51),https://www.essatownship.on.ca/development-construction/planning-development-services/development-charges/,2023-06-21,,until repealed,Yes,5. EXEMPTIONS AND DISCOUNTS (1) This By-law shall not apply to land that is owned by and used for the purposes of: (c) a non-residential farm building;,http://www.essatownship.on.ca/
"Essex, Co",Upper Tier,Essex,No,County DC By-law 2026-02,https://www.countyofessex.ca/doing-business/planning-and-development/development-charges-initiative/,2026-02-04,2036-02-04,"First county-wide DC by-law. Not active until Jan 1 2028, phased 25%/yr over 4 years.",Yes,Farm buildings that are part of a bona fide farm operation are exempt from county development charges. Note: county DC not active until Jan 1 2028.,http://www.countyofessex.on.ca/
