Municipality,Municipal Status,County / Region,Has DC Bylaw,DC Bylaw Name,DC Bylaw Link,Date Enacted,Expiry Date,Expiry Notes,Agricultural Building Exemption,Exemption Wording (Operative Text),Municipality Website
Mattawan,Single Tier,Nipissing,No,,—,,,,No DC Bylaw,,VALUE!
Mattice-Val Cote,Single Tier,Cochrane,No,,,,,,No DC Bylaw,,http://www.matticevalcote.ca/
McDougall,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.municipalityofmcdougall.com/
McGarry,Single Tier,Timiskaming,No,,—,,,,No DC Bylaw,,http://www.mcgarry.ca/
McKellar,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.township.mckellar.on.ca/
McMurrich-Monteith,Single Tier,Parry Sound,No,,,,,,No DC Bylaw,,http://www.mcmurrichmonteith.com/
McNab-Braeside,Lower Tier,Renfrew,Yes,By-law 2019-42 (amended by By-law 2024-49),https://www.mcnabbraeside.com/en/doing-business/development-charges.aspx,2019-06-27,2029-06-27,"Original By-law 2019-42 still in effect, amended by 2024-49. No explicit expiry date found; assumed 10-year term.",No,"No explicit farm exemption. Exemptions limited to Board of Education, Municipality/Local Board, and County of Renfrew/Local Boards. DCs collected for new dwelling units, commercial buildings, and industrial buildings (additions >50% of existing GFA).",http://mcnabbraeside.com/
Meaford,Lower Tier,Grey,Yes,By-law 2024-48,https://meaford.ca/development-charges/,2024-10-07,,Until repealed.,Yes,"13.0 Categories of Exempt Uses 13.1 The following categories of uses are hereby designated as being exempt from the payment of development charges. e) agricultural use, where “Agricultural Use” means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit, used, designed or intended to be used for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, bee keeping, dairying, fallow, field crops, fish farming, forestry, fruit farming, horticulture, livestock, market gardening, pasturage, poultry keeping, the growing, raising, packing, treating, storing, and sale of produce produced on the premises, temporary farm help accommodation and other activities customarily carried on in the field of agriculture.",http://meaford.ca/
Melancthon,Lower Tier,Dufferin,Yes,By-law No. 30-2024,https://melancthontownship.ca/wp-content/uploads/2024/07/Development-Charges-By-law-30-2024.pdf,2024-07-16,,,Yes,"Other Exemptions: 3.9.2 Notwithstanding the provisions of this By-law, development charges shall not be imposed on ""an agricultural use"", including barns, silos, or other storage facilities for produce, livestock, or machinery and equipment used in connection with an existing agricultural operation, and other ancillary development to an agricultural use, but excluding a ""residential dwelling"", an ""on-farm diversisied use"" or a ""cannabis production facility"".",http://melancthontownship.ca/
Merrickville-Wolford,Lower Tier,Leeds and Grenville,No,BY-LAW 15-2021,https://www.merrickville-wolford.ca/governance/plans-reports-studies?layout=table,2021-03-22,2026-03-22,,Yes,,http://www.merrickville-wolford.ca/
Middlesex,Upper Tier,Middlesex,No,By-law #7291,https://www.middlesex.ca/sites/default/files/documents/07291%20-%20Establish%20Development%20Charges%20for%20Middlesex%20County%20-%20Final.pdf,2024-06-26,,,Yes,"Other Exemptions/Reductions Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: non-residential agricultural use buildings shall be exempt from the development charge;",http://www.middlesex.ca/
Middlesex Centre,Lower Tier,Middlesex,Yes,By-law 2024-064 (amended by 2025-064),https://www.middlesexcentre.ca/sites/default/files/2024-07/2024-064%20Development%20Charges.pdf,2024-07-10,2034-07-11,"EXPIRES 2034, UNLESS REPREALED",No,,http://www.middlesexcentre.on.ca/
Midland,Lower Tier,Simcoe,Yes,By-law 2025-21,https://www.midland.ca/media/vpxfsij1/by-law-2025-21-2025-development-charges-midland.pdf,2025-03-19,,,No,,http://www.midland.ca/
Milton,Lower Tier,Halton,Yes,By-law 053-2022,https://www.milton.ca/en/business-and-development/resources/Development-Charges/April-2026/May-2026/Development-Charges-Information-Pamphlet---May-30-2026.pdf,2022-06-20,,,Yes,"OTHER EXEMPTIONS/REDUCTIONS: 21. Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: f) agricultural development, including a one-time exemption of up to 50 square metres (538.2 square feet) on any commercial or retail component therein; where ""agricultural development"" means a bona fide farming operation, including greenhouses used in connection with a bona fide farming operation which are not connected to Regional water services or wastewater services, sod farms and farms for the breeding and boarding of horses, and includes, but is not limited to, barns, silos and other ancillary buildings to such agricultural development, but excluding in all circumstances any residential or commercial or retail component thereof and excludes Cannabis Production Facilities;",http://www.milton.ca/
Minden Hills,Lower Tier,Haliburton,No,,,,,,No DC Bylaw,,http://www.mindenhills.ca/
Minto,Lower Tier,Wellington,Yes,BY-LAW NUMBER 2024-055,https://www.town.minto.on.ca/residents/building-and-planning/development-charges,2024-07-09,,Original expiry Mar 1 2025 being removed via amendment per Bill 185. New bylaw anticipated after Mar 3 2026 public meeting.,No,No explicit farm exemption confirmed in available excerpts. Full bylaw text and 2021 amendment should be reviewed for specifics.,http://www.town.minto.on.ca/
Mississauga,Lower Tier,Peel,Yes,By-law 0133-2022 (as amended),https://www.mississauga.ca/services-and-programs/planning-and-development/growth-charges/development-charges/development-charges-by-laws-and-rates/,2022-06-22,,,No,,http://www.mississauga.ca/
Mississippi Mills,Lower Tier,Lanark,Yes,By-law No. 23-081 through 23-085,https://www.mississippimills.ca/media/4bdjb4fm/2025-development-charges_combined.pdf,2023-12-05,,,Yes,"Other Exemptions 3.13 Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (c) Non-residential farm building used for a bona fide agricultural use, where “Farm building” means that part of a farming operation encompassing barns, silos, and other accessory use to a bona fide agricultural use or “value add” buildings of a commercial or retail nature for the farming operation or farm help quarters for the farming operation workers but excluding a Residential use;",http://www.mississippimills.ca/
Mono,Lower Tier,Dufferin,Yes,BY-LAW NUMBER 2024-38,https://townofmono.com/services/fees-and-permits,2024-09-24,,,Yes,"3.9 Other Exemptions: 1) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (i) Non-residential farm buildings constructed for bona fide farm uses, where “farm building” means a building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to that farming operation, including greenhouses, but excludes: (a) a residential use, with the exception of a bunk house for seasonal farm workers required for that farm operation; and (b) any building or portion thereof used or intended to be used for any other Non-Residential Use, including, but not limited to: retail sales; commercial services; restaurants; banquet facilities; hospitality and accommodation facilities; gift shops; contractors’ shops; services related to grooming, boarding, or breeding of household pets; and alcohol and marijuana production facilities.",http://www.townofmono.com/
Montague,Lower Tier,Lanark,Yes,By-law 3893-2022,https://www.montaguetownship.ca/images/3893-2022_-_To_establish_development_charges_for_the_Township_of_Montague.pdf,2022-03-01,,The By-law shall continue in force and effect for a term of five (5) years from the date of its enactment,No,,http://www.township.montague.on.ca/
Moonbeam,Single Tier,Cochrane,No,,—,,,,No DC Bylaw,,http://www.moonbeam.ca/
Moosonee,Single Tier,Cochrane,No,,—,,,,No DC Bylaw,,http://www.moosonee.ca/
Morley,Single Tier,Rainy River,No,,—,,,,No DC Bylaw,,http://www.townshipofmorley.ca/
Morris-Turnberry,Lower Tier,Huron,No,,—,,,No DC bylaw currently in place. Previous data had no bylaw name listed.,No,No development charges bylaw in place; therefore no farm exemption applicable.,https://morristurnberry.ca/
Mulmur,Lower Tier,Dufferin,Yes,BY-LAW NO. 25-2024,https://mulmur.ca/content/build/development-charges/2024-development-charges-by-law.pdf,2024-07-03,,,Yes,"8. EXEMPT BUILDINGS 8.1 Non-residential buildings used accessory to an agricultural operation shall be exempt from the development charge,",http://www.mulmurtownship.ca./
Muskoka,Upper Tier,Muskoka,Yes,BY-LAW NO. 2024-34,https://www.muskoka.on.ca/en/finance-and-administration/development-fees-and-charges.aspx,2024-10-21,2025-01-01,,Yes,"8. Exemptions Subject to section 9 herein, the following types of development shall be exempt from payment of development charges: (a) the development of a non-residential farm building or structure; where ""farm building"" means buildings or structures used to carry on a bona fide farming operation including barns, silos and other ancillary development to an agricultural use, but excluding cannabis production facilities and those buildings or structures used for residential purposes;",http://www.muskoka.on.ca/
Muskoka Lakes,Lower Tier,Muskoka,Yes,By-law 2024-055,https://www.muskokalakes.ca/business-property-development/building-demolition-and-construction/,2024-06-12,2024-07-01,,No,"10. In the case of the demolition of all or part of a residential building, a non— residential building or a farm building or structure: 10.1. no development charge shall be imposed if a building that has been destroyed or legally demolished is rebuilt within three years of the destructionor demolition. If a different type of building is constructed, a credit equal to the development charge that would have been imposed on the original building if it were constructed elsewhere in the neighbourhood, will apply. 10.2. A credit can, in no case, exceed the amount of the development charge that would othenrvise be payable, and no credit is available if the existing land use is exempt under this by-law.",http://www.muskokalakes.ca/
Nairn and Hyman,Single Tier,Sudbury,No,,—,,,,No DC Bylaw,,http://www.nairncentre.ca/
Neebing,Single Tier,Thunder Bay,No,,—,,,,No DC Bylaw,,http://www.neebing.org/
New Tecumseth,Lower Tier,Simcoe,Yes,By-law #2021-166,https://www.newtecumseth.ca/en/resources/Finance/Development-Charges/Development-Charge-Brochure---Jul-01-2024.pdf,2021-12-13,2022-01-01,,Yes,"4. Applicable Lands (3) This by-law shall not apply to land that is owned by and used for the purposes of: (e) agricultural uses, where "" agricultural use"" means lands, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping, equestrian facilities and any other activities customarily carried on in the field of agriculture.",http://www.town.newtecumseth.on.ca/
Newbury,Lower Tier,Middlesex,No,,—,,,,Not Known,,http://www.newbury.ca/
Newmarket,Lower Tier,York,Yes,"By-laws 2019-46, 2019-47, 2019-48 (amended by 2022-34, extended to 2029)",https://www.newmarket.ca/en/townhall/development-charges.aspx,2019-07-21,2029-07-18,Originally set to expire Jul 21 2024. Extended 5 years to Jul 18 2029 via amending by-law.,Yes,"Section 3.5(g) of By-law 2019-48: ""agricultural uses"" are exempt from development charges. ""Farm building"" defined as part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, excluding residential use.",http://www.newmarket.ca/
Niagara,Upper Tier,Niagara,Yes,By-law 2022-48,https://www.niagararegion.ca/business/property/background-study.aspx,2022-08-25,,,Yes,"DISCRETIONARY EXEMPTIONS 19. Notwithstanding any other provision of this By-law, no development charge is imposed under this By-law respecting: (a) non-residential lands and buildings used for agricultural use; (b) on-farm site farm accommodations used for agricultural use; where “agricultural use” means use or intended use for bona fide farming purposes (a) including (but not limited to): (i) cultivation of crops, whether on open land or in greenhouses, including (but not limited to) fruit, vegetables, herbs, grains, field crops, marijuana, sod, trees, shrubs, flowers, and ornamental plants; (ii) raising of animals, including (but not limited to) cattle, horses, pigs, poultry, livestock, fish; and (iii) agricultural animal husbandry, dairying, equestrian activities, horticulture, fallowing, pasturing, and market gardening; (b) but excluding: (i) retail sales activities; including but not limited to restaurants, banquet facilities, hospitality facilities and gift shops; (ii) services related to grooming, boarding, or breeding of household pets; and (iii) marijuana processing or production facilities",http://www.niagararegion.ca/
Niagara Falls,Lower Tier,Niagara,Yes,By-law 2024-053 (as amended),https://niagarafalls.ca/building-planning-and-business/planning-and-development/growth-charges-and-incentives/development-charges/,2024-05-28,,10-year term. 2025 rates effective Sep 1 2025. Agricultural exemption maintained following Niagara Region task force vote in May 2022.,Yes,"Agricultural buildings exempt from development charges. Exemption maintained following Niagara Region DC task force advocacy in 2022. Agricultural use defined per 2020 Provincial Policy Statement (crop growing, livestock raising, on-farm buildings and structures).",http://www.niagarafalls.ca/
Niagara-on-the-Lake,Lower Tier,Niagara,Yes,By-law 5072-18 (as indexed),https://www.notl.com/town-hall/by-law-directory/development-charges-law-5072-18,2018-07-16,,Until repealed,Yes,"Applicable Lands (2) This by-law shall not apply to land that is owned by and used for the purposes of (c) the development of a non-residential farm building used for bona fide agricultural purposes; where “farm building"" means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use;",http://www.notl.org/
Nipigon,Single Tier,Thunder Bay,No,,,,,,No DC Bylaw,,http://www.nipigon.net/
Nipissing,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://nipissingtownship.com/
Norfolk,Single Tier,Norfolk,Yes,By-law 2019-100 (as indexed),https://www.norfolkcounty.ca/council-administration-and-government/budget-fees-and-finances/development-charges/,2019-10-15,,Until repealed,Yes,5. Exemptions from Development Charges (5.2) iv) Farm help house development; v) Farming business development,http://www.norfolkcounty.on.ca/
North Algona Wilberforce,Lower Tier,Renfrew,No,,—,,,,No DC Bylaw,,http://www.nalgonawil.com/
North Bay,Single Tier,Nipissing,Yes,By-Law No. 2019-72 (amended by 2024-69),https://northbay.ca/media/iffb3mtf/by-law-no-2024-69-amendment-to-by-law-2019-72-to-extend-expiry-date-final.pdf,2019-10-10,2029-10-10,Until repealed,Yes,"Applicable Lands 3. (2) This By-law shall not apply to land that is owned by and used for the purposes of: (g) Industrial Uses, where “Industrial Use” means a use considered a permitted use under Industrial Class 1, Industrial Class 2, Industrial Class 3, Wholesale or Transportation Terminal through the City’s Zoning By-law, By-law No. 2015-30, as amended;",http://www.cityofnorthbay.ca/
North Dumfries,Lower Tier,Waterloo,Yes,BY-LAW NUMBER 3088-19,https://www.northdumfries.ca/en/doing-business/resources/Documents/By-law-3088-19-Development-Charges.pdf,2019-11-25,2024-11-25,2020 DC Background Study updated from By-law 3122-19.,Yes,Non-residential farm buildings for bona fide farming operations exempt from development charges. Standard Ontario agricultural DC exemption.,http://www.northdumfries.ca/
North Dundas,Lower Tier,"Stormont, Dundas and Glengarry",Yes,By-law No. 2022-35,https://www.northdundas.com/sites/1/files/2022-05/Bylaw%20No.%202022-35%20Development%20Charges.pdf,2022-05-04,,,Yes,"4.0 Applicable Lands (4.2) (e) a non-residential farm building used for bona fide agricultural purposes; where ""Farm Building"" means a building or part thereof which does not contain a residential occupancy and which is associated with and located on land devoted to the practice of farming and used essentially for the housing of equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds and shall not include manure storage facilities, but excludes a building or extension to a building having a gross floor area of less than 46.45 square metres (500 square feet).",http://www.northdundas.com/
North Frontenac,Lower Tier,Frontenac,No,,—,,,,No DC Bylaw,,http://www.northfrontenac.ca/
North Glengarry,Lower Tier,"Stormont, Dundas and Glengarry",No,,—,,,,No DC Bylaw,,http://www.northglengarry.ca/
North Grenville,Lower Tier,Leeds and Grenville,Yes,By-law 52-21,https://www.northgrenville.ca/services-and-payments/municipal-services/building-permits-fees,2021-06-15,,Extended from Nov 2024 to Nov 2025. New DC background study underway; replacement expected.,Yes,Section 3(6): Agricultural buildings/structures (excluding farm dwellings) subject only to fire service portion of DC - partial exemption from full development charges.,http://www.northgrenville.ca/
North Huron,Lower Tier,Huron,No,,https://www.northhuron.ca/,,,UNTIL REPEALED,Not Known,4. No development charge under section 5 is payable where the development; (11) Is a bona fide non-residential farm building;,http://www.northhuron.ca/
North Kawartha,Lower Tier,Peterborough,No,By-law 2021-0062,https://www.northkawartha.ca/living-here/building-department/,2021-08-03,,,Yes,,http://www.northkawartha.on.ca/
North Middlesex,Lower Tier,Middlesex,Yes,BY-LAW NO. 041 of 2022 (amended by 112 of 2025),https://www.northmiddlesex.on.ca/sites/default/files/2025-12/112%20of%202025%20-%20Development%20Charges%202026.pdf,2022-04-20,,"EXPIRES 2027, UNLESS IS AMMENDED",No,"Development shall be imposed on all lands, builidngs or structures that are developed for residential or non-residental uses if the development requires: i. The passing of a zoning bylaw ii. Approval of a minor variance iii. A conveyance of land iv.aproval of a plan of subdivision v. a consent vi. the approval of a description vii. The issuing of a permint in realation to the building or structure",http://www.northmiddlesex.on.ca/
North Perth,Lower Tier,Perth,Yes,By-law No. 74-2024,https://www.northperth.ca/media/ysgluhd0/74-2024-development-charges-for-the-municipality-of-north-perth.pdf,2024-09-04,,Or until repealed,Yes,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or cannabis production facilities uses shall be exempt from the provisions of this By-law.",http://www.northperth.ca/
North Stormont,Lower Tier,"Stormont, Dundas and Glengarry",No,,—,,,,No DC Bylaw,,http://www.northstormont.ca/
Northeastern Manitoulin & The Isl,Single Tier,Manitoulin,No,,,,,,No DC Bylaw,,http://www.townofnemi.on.ca/
Northern Bruce Peninsula,Lower Tier,Bruce,No,,—,,,,N/A,,http://www.northbrucepeninsula.ca/
Northumberland,Upper Tier,Northumberland,No,,https://www.northumberland.ca/DevelopmentCharges,,,10-year term. Upper tier (County) DC bylaw.,Not Known,Farm buildings exempt per standard Ontario county DC practice.,http://northumberland.ca/
Norwich,Lower Tier,Oxford,Yes,By-Law No. 32-2024 (amended by 37-2024),https://www.norwich.ca/media/0v4iwqz5/development-charges-pamphlet-june-13-2026.pdf,2024-07-09,,Until repealed,Yes,"3. APPLICABLE LANDS (3) This by-law shall not apply to: (a) Farm Buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to that farming operation, but excludes: (a) a Residential Use, with the exception of a bunk house for seasonal farm workers required for that farm operation; and (b) any Building or portion thereof used or intended to be used for any other Non-Residential Use, including, but not limited to: retail sales; commercial services; restaurants; banquet facilities; hospitality and accommodation facilities; gift shops; contractors shops; services related to grooming, boarding, or breeding of household pets; and alcohol and marijuana production facilities.",http://www.twp.norwich.on.ca/
O'Connor,Single Tier,Thunder Bay,No,,—,,,,No DC Bylaw,,http://www.oconnortownship.ca/
Oakville,Lower Tier,Halton,Yes,By-law 2022-068,https://www.oakville.ca/town-hall/budget-finances/growth-infrastructure-financing-tools/development-charges/,2022-07-11,2027-07-11,Until repealed,Yes,"EXEMPTIONS 7. (1) This By-law shall not apply to land that is owned by and used for the purposes of: (a) an agricultural development; where ""agricultural development"" means a bona fide farming operation (as evidenced by membership of the owner/operator of the farm operation in the Ontario Federation of Agriculture), including greenhouses which are not connected to Regional water services or wastewater services, sod farms and farms for the breeding and boarding of horses, and includes, but is not limited to, barns, silos and other ancillary buildings to such agricultural development but excluding any component thereof that is; (a) A residential use, (b) A commercial use, including but not limited to marijuana production facilities, or (c) Retail development, including but not limited to the breeding, boarding and/or grooming of household pets;",http://www.oakville.ca/
Oil Springs,Lower Tier,Lambton,No,,—,,,,No DC Bylaw,,http://www.oilsprings.ca/
Oliver Paipoonge,Single Tier,Thunder Bay,No,BY-LAW NO. 627-2021,https://oliverpaipoonge.ca/sites/default/files/2021-10/By-Law%20627-2021%20Development%20Charges.pdf,2021-10-12,,,Yes,,http://www.oliverpaipoonge.on.ca/
Opasatika,Single Tier,Cochrane,No,,—,,,,No DC Bylaw,,http://opasatika.net/
Orangeville,Lower Tier,Dufferin,Yes,By-law 2024-039,https://www.orangeville.ca/en/doing-business/resources/Documents/Town%20of%20Orangeville%202024%20D.C.%20Background%20Study%20-%20Final%20Report.pdf,2024-06-24,,Until repealed,No,,http://www.orangeville.ca/
Orillia,Single Tier,Simcoe,Yes,By-law Number 2023-009 (amended by 2024-113),https://www.orillia.ca/media/14jhoa4s/dc-pamphlet-july-1-2026.pdf,2023-02-13,2033-02-13,,No,,http://www.orillia.ca/
Oro-Medonte,Lower Tier,Simcoe,Yes,By-law No. 2024-097,https://www.oro-medonte.ca/media/5k2bcjpx/dc-pamphlet-2025-final.pdf,2024-10-23,,,Yes,"Exemptions 3.3 This by-law shall not apply to lands that are owned by and used for the purposes of: e) farm buildings as defined herein; where ""Farm Building"" means a building or structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use and marijuana faciltiies.",http://www.oro-medonte.ca/
Oshawa,Lower Tier,Durham,Yes,By-law 91-2024,https://www.oshawa.ca/media/or3lhgew/development_charges_by-law_91-2024.pdf,2024-06-24,,until repealed,Yes,"2. Application 2.5 No Development Charge shall be imposed with respect to any Development: (g) respecting an Agricultural building or structure; where “Agricultural”, in reference to use, means land, buildings or structures used, designed or intended to be used solely for an “agricultural operation” as that term is defined in section 1 of the Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1;",http://www.city.oshawa.on.ca/
Otonabee-South Monaghan,Lower Tier,Peterborough,Yes,By-law 2020-60,https://www.osmtownship.ca/municipal-services/by-laws-policies/,2020-12-07,,10-year term.,Yes,Non-residential farm buildings exempt from development charges.,http://www.osmtownship.ca/
Ottawa,Single Tier,Ottawa,Yes,By-law 2024-218 (as amended),https://ottawa.ca/en/planning-development-and-construction/residential-property-regulations/development-application-review-process/development-application-submission/fees-and-funding-programs/development-charges/overview,2024-05-15,,,Yes,"7. (1) Subject to subsection (3), the following shall be exempt from development Charges: (g) Non-residential use buildings used for bona fide agricultural purposes, including buildings on a fairgrounds of an agricultural society",http://ottawa.ca/en
Owen Sound,Lower Tier,Grey,Yes,By-law No. 2020-112 (as amended),https://www.owensound.ca/media/o1uloljx/2023-development-charges-background-study.pdf,2020-11-23,,Unknown,Yes,"Exempt Buildings 16. No Development Charge under Schedule B of this by-law are imposed with respect to: a. Non-residential buildings used accessory to an agricultural operation; where ""agricultural"" is not explicitly defined.",http://www.owensound.ca/
Oxford,Upper Tier,Oxford,Yes,By-law 6639-2024 (amended by 6709-2025),https://www.oxfordcounty.ca/your-government/financial-policy/development-charges-and-fees/,2024-06-12,,until repealed,Yes,"3. APPLICABLE LANDS (3) This by-law shall not apply to: (a) Farm Buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming, as defined by the Farming and Food Production Protection Act, 1998, and that is used essentially for the housing of farm equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds, and as part of or in connection with a bona fide farming operation and includes barns, silos and other Buildings or structures ancillary to that farming operation, but excludes: (a) Bunk House for seasonal farm workers required for that farm operation; and (b) any Building or portion thereof used or intended to be used for any other NonResidential Use, including, but not limited to: retail sales; commercial services; restaurants; banquet facilities; hospitality and accommodation facilities; gift shops; contractors shops; services related to grooming, boarding, or breeding of household pets; and alcohol or cannabis production facilities;",http://www.oxfordcounty.ca/
Papineau-Cameron,Single Tier,Nipissing,No,,—,,,,No DC Bylaw,,http://www.papineaucameron.ca/
Parry Sound,Single Tier,Parry Sound,Yes,By-laws 2023-7346 through 2023-7350,https://www.parrysound.ca/media/jkslp5pa/dc-pamphlet-effective-june-6-2025.pdf,2023-06-06,,,Yes,"3. APPLICABLE LANDS (b) This By-law shall not apply to land that is owned by and used for the purposes of: 5) a Non-residential Building in connection with a bona fide Agricultural use including, but excluding a residential use and cannabis production facilities;",http://www.townofparrysound.com/
Peel,Upper Tier,Peel,Yes,By-law 77-2020 (as amended),https://peelregion.ca/about/finance/development-charges,2020-12-10,2021-01-22,Until repealed,Yes,"11. Exemptions (2) No development charge is imposed under this By-law in respect of land developed for an agriculture use including on-farm diversified use. where ""agricultural use"" means a use for the purpose of animal husbandry, dairying, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping and any other use customarily carried on for the purposes of a bona fide farming operation, but does not include a residential use on lands that are developed for an agricultural use, and shall not include the growing, processing, production of cannabis or a controlled substance.",http://www.peelregion.ca/
Pelee,Single Tier,Essex,No,,—,,,,No DC Bylaw,,http://www.pelee.org/
Pelham,Lower Tier,Niagara,Yes,By-law No. 83-2024,https://www.pelham.ca/media/rcfjevil/83-2024-dc-by-law.pdf,2018-07-16,2034-12-31,until repealed,Yes,"4. APPLICABLE LANDS (6) This by-law shall not apply to land that is owned by and used for the purposes of: g) a farm building, excluding residential use",http://www.pelham.ca/
Pembroke,Single Tier,Renfrew,Yes,By-law No. 2021-26,https://www.pembroke.ca/media/zrepffel/development-charges-pamphlet-pembroke.pdf,2021-05-04,2021-06-07,,No,,http://www.pembrokeontario.com/
Penetanguishene,Lower Tier,Simcoe,Yes,BY-LAW NO. 2024-34,https://www.penetanguishene.ca/media/3yqfu4oe/penetanguishene_notice-of-passage.pdf,2024-06-26,,10-year term.,Yes,"Agricultural uses, farm buildings, and other development ancillary to an agricultural use are exempt, excluding residential uses.",http://www.penetanguishene.ca/
Perry,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.townshipofperry.ca/
Perth East,Lower Tier,Perth,Yes,By-law 59-2021,https://www.pertheast.ca/wp-content/uploads/2025/04/Perth-East_DC-Pamphlet_January-2025.pdf,2021-11-02,,,Yes,"Bona Fide Farm Uses= encompassing barns, silos and other ancillary Development to an agricultural use, but excluding a Residential Use;",https://www.pertheast.ca/en/index.aspx
Perth South,Lower Tier,Perth,No,,—,,,,No DC Bylaw,,https://www.perthsouth.ca/en/index.aspx
"Perth, Co",Upper Tier,Perth,No,,N/A#http://N/A,,,,No DC Bylaw,,http://www.perthcounty.ca/
"Perth, T",Lower Tier,Lanark,Yes,By-Law No. 4839,https://perth.civicweb.net/filepro/document/6287/2019-4839-Amended%202019%20Development%20Charge%20Study%20_%20By-law%20Update-19Nov2019.pdf,2019-11-19,,Until repealed.,Yes,"3) development charges shall not be imposed with respect to: c) industrial buildings; where ""industrial"" means any building used for or in connection with a) manufacturing, producing, processing, storing, or distributing something and includes a greenhouse;",http://www.perth.ca/en/index.aspx
Petawawa,Lower Tier,Renfrew,Yes,By-law 1435/21,https://www.petawawa.ca/en/doing-business/resources/Documents/By-law-1435-21-Development-Charges.pdf,2021-06-21,,,Yes,3.11 Other Exemptions (b) The development of non-residential farm buildings constructed for bona-fide farm uses.,http://www.petawawa.ca/
"Peterborough, C",Single Tier,Peterborough,Yes,By-Law Number 25-100,https://bylaws.peterborough.ca/bylaws/getFNDoc.do?class_id=20&document_id=14220,2025-09-03,2035-09-03,,Yes,"Other Exemptions 20. Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: (e) a non-residential agricultural buildings or structures that are owned by and are used for the purposes of a bona fide farming operation.",http://www.peterborough.ca/
"Peterborough, Co",Upper Tier,Peterborough,Yes,By-law No. 2022-35,https://peterboroughcounty.civicweb.net/filepro/document/291647/Development%20Charges%20By-law%20No.%202022-35.pdf,2022-05-02,2027-05-02,,Yes,"8. Exempt Buildings 8.1 The following Buildings are exempt from Development Charges: (f) Farm Buildings; where ""Farm Building"" means a Building or Structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos, and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use. For greater clarity, a Farm Building does not include a commercial building, institutional building, or industrial building on a farm that is secondary to a bona fide farming operation.",http://www.ptbocounty.ca/en/index.aspx
Petrolia,Lower Tier,Lambton,No,,—,,,until repealed,Yes,"Other Exemptions 3.11. Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: b. The development of non-residential farm buildings constructed for bona fide farm uses, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class.",http://town.petrolia.on.ca/
Pickering,Lower Tier,Durham,Yes,By-law No. 7953/22 (amended by 8199/25),https://www.pickering.ca/media/dsrg5d1s/development-charges-2024-2025.pdf,2022-07-13,,,Yes,"PART I APPLICATION 1. (2) This By-law shall not apply to land that is owned by and used for the purposes of, (c) the development of a non-residential farm building used for bona fide agricultural purposes; where ""agricultural use"" means lands, buildings, or structures, excluding any portion thereofgricultural use"" means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit or for a commercial use, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, greenhouses, horticulture, market gardening, pasturage, poultry keeping, and equestrian facilities",https://www.pickering.ca/en/index.aspx
Pickle Lake,Single Tier,Kenora,No,,—,,,,No DC Bylaw,,http://www.picklelake.ca/
