Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Brantford,Single Tier,Brant,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,261.5.3 Farm building This Chapter shall not apply to land that is owned by and used for the purposes of the development of a farm building as defined in this Chapter.,Bylaw No. 210-2021,https://www.brantford.ca/your-government/by-laws/by-law-library/development-charges-by-law-chapter-261/
Brethour,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Brighton,Lower Tier,Northumberland,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law No. 015-2025,https://www.brighton.ca/living-in-brighton/by-law-enforcement/commonly-requested-by-laws/
Brock,Lower Tier,Durham,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"22. Categories of Exemptions (g) development of Farm Buildings; where ""Farm Building"" means used as part of or in connection wit a bona fide farming operation, but excluding a Residential Use.",By-law Number 3274-2024,https://www.townshipofbrock.ca/media/455bwlvp/3274-2024-development-charges-bylaw-accessible.pdf
Brockton,Lower Tier,Bruce,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Other Exemptions 3.10 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: 3.10.2 The development of non-residential farm buildings constructed for bona fide farm uses.",By-Law 2024-096,https://www.brockton.ca/en/do-business/development-charges.aspx
Brockville,Single Tier,Leeds and Grenville,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,Bylaw Number: 083-2025,https://brockville.com/wp-content/uploads/2023/03/2025-Development-Charges-Bylaw-083-2025.pdf
Brooke-Alvinston,Lower Tier,Lambton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Bruce,Upper Tier,Bruce,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"3.8 Other Exemptions/Reductions 3.8.4 Agricultural use, where ""agricultural use"" means use or intended use for bona fide farming purpose and has a farm business registration number, but excluding a residental use.",By-Law No. 2023-048,https://www.brucecounty.on.ca/sites/default/files/By-law%202023-048%20-%20Development%20Charges%20By-law.pdf
Bruce Mines,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
"Brudenell, Lyndoch and Raglan",Lower Tier,Renfrew,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
