munid,municipality_name,tier
46011,MINDEN HILLS TP,lower_single
23040,MINTO TP,lower_single
21005,MISSISSAUGA C,lower_single
9030,MISSISSIPPI MILLS M,lower_single
22012,MONO TP,lower_single
9001,MONTAGUE TP,lower_single
56056,MOONBEAM TP,lower_single
56065,MOOSONEE TP,lower_single
59031,MORLEY TP,lower_single
40048,MORRIS TURNBERRY M,lower_single
22016,MULMUR TP,lower_single
44053,MUSKOKA LAKES TP,lower_single
52031,NAIRN AND HYMAN TP,lower_single
58001,NEEBING M,lower_single
43025,NEW TECUMSETH TP,lower_single
39002,NEWBURY TP,lower_single
19048,NEWMARKET TP,lower_single
26043,NIAGARA FALLS C,lower_single
26047,NIAGARA ON THE LAKE TP,lower_single
58044,NIPIGON TP,lower_single
49071,NIPISSING TP,lower_single
28030,NORFOLK,lower_single
47068,NORTH ALGONA WILBERFORCE TP,lower_single
48044,NORTH BAY C,lower_single
30001,NORTH DUMFRIES TP,lower_single
1026,NORTH DUNDAS TP,lower_single
10041,NORTH FRONTENAC TP,lower_single
1047,NORTH GLENGARRY TP,lower_single
7055,NORTH GRENVILLE M,lower_single
40050,NORTH HURON TP,lower_single
15035,NORTH KAWARTHA TP,lower_single
39041,NORTH MIDDLESEX M,lower_single
31035,NORTH PERTH M,lower_single
1037,NORTH STORMONT TP,lower_single
51015,NORTHEASTERN MANITOULIN AND THE ISLANDS TP,lower_single
41061,NORTHERN BRUCE PENINSULA M,lower_single
32002,NORWICH TP,lower_single
58016,O TMCONNOR TP,lower_single
24001,OAKVILLE TP,lower_single
38018,OIL SPRINGS TP,lower_single
58007,OLIVER PAIPOONGE M,lower_single
56073,OPASATIKA TP,lower_single
22014,ORANGEVILLE TP,lower_single
43052,ORILLIA C,lower_single
43047,ORO MEDONTE TP,lower_single
18013,OSHAWA C,lower_single
15005,OTONABEE SOUTH MONAGHAN TP,lower_single
6005,OTTAWA C,lower_single
42059,OWEN SOUND C,lower_single
48017,PAPINEAU CAMERON TP,lower_single
49032,PARRY SOUND TP,lower_single
37001,PELEE TP,lower_single
26028,PELHAM TP,lower_single
47064,PEMBROKE C,lower_single
43072,PENETANGUISHENE TP,lower_single
49014,PERRY TP,lower_single
31002,PERTH EAST TP,lower_single
31008,PERTH SOUTH TP,lower_single
9021,PERTH TP,lower_single
47077,PETAWAWA TP,lower_single
15014,PETERBOROUGH C,lower_single
38019,PETROLIA TP,lower_single
18001,PICKERING C,lower_single
60049,PICKLE LAKE TP,lower_single
57019,PLUMMER ADDITIONAL TP,lower_single
38033,PLYMPTON WYOMING TP,lower_single
38031,POINT EDWARD TP,lower_single
26011,PORT COLBORNE C,lower_single
14022,PORT HOPE M,lower_single
49058,POWASSAN M,lower_single
7008,PRESCOTT TP,lower_single
13002,PRINCE EDWARD,lower_single
57066,PRINCE TP,lower_single
23001,PUSLINCH TP,lower_single
12010,QUINTE WEST C,lower_single
59042,RAINY RIVER TP,lower_single
43050,RAMARA TP,lower_single
60040,RED LAKE M,lower_single
58041,RED ROCK TP,lower_single
47048,RENFREW TP,lower_single
19038,RICHMOND HILL C,lower_single
7030,RIDEAU LAKES TP,lower_single
2048,RUSSELL TP,lower_single
49024,RYERSON TP,lower_single
52019,SABLES SPANISH RIVERS TP,lower_single
38030,SARNIA C,lower_single
41043,SAUGEEN SHORES TP,lower_single
57061,SAULT STE MARIE C,lower_single
58051,SCHREIBER TP,lower_single
18020,SCUGOG TP,lower_single
49003,SEGUIN TP,lower_single
15017,SELWYN TP,lower_single
43080,SEVERN TP,lower_single
22021,SHELBURNE TP,lower_single
58028,SHUNIAH M,lower_single
60034,SIOUX LOOKOUT M,lower_single
60008,SIOUX NARROWS NESTOR FALLS TP,lower_single
9004,SMITHS FALLS TP,lower_single
56048,SMOOTH ROCK FALLS TP,lower_single
48001,SOUTH ALGONQUIN TP,lower_single
41004,SOUTH BRUCE M,lower_single
41053,SOUTH BRUCE PENINSULA TP,lower_single
1016,SOUTH DUNDAS M,lower_single
10013,SOUTH FRONTENAC TP,lower_single
1002,SOUTH GLENGARRY TP,lower_single
40003,SOUTH HURON M,lower_single
49056,SOUTH RIVER TP,lower_single
1009,SOUTH STORMONT TP,lower_single
32011,SOUTH WEST OXFORD TP,lower_single
42005,SOUTHGATE TP,lower_single
39003,SOUTHWEST MIDDLESEX M,lower_single
34024,SOUTHWOLD TP,lower_single
57039,SPANISH TP,lower_single
43040,SPRINGWATER TP,lower_single
26053,ST CATHARINES C,lower_single
52004,ST CHARLES M,lower_single
38002,ST CLAIR TP,lower_single
57008,ST JOSEPH TP,lower_single
31016,ST MARYS T,lower_single
34021,ST THOMAS C,lower_single
12017,STIRLING RAWDON TP,lower_single
11023,STONE MILLS TP,lower_single
31011,STRATFORD C,lower_single
39013,STRATHROY CARADOC M,lower_single
49046,STRONG TP,lower_single
49048,SUNDRIDGE TP,lower_single
57014,TARBUTT AND TARBUTT ADDITIONAL TP,lower_single
43070,TAY TP,lower_single
9010,TAY VALLEY TP,lower_single
37043,TECUMSEH TP,lower_single
51001,TEHKUMMAH TP,lower_single
48069,TEMAGAMI M,lower_single
54010,TEMISKAMING SHORES C,lower_single
58054,TERRACE BAY TP,lower_single
39025,THAMES CENTRE M,lower_single
49005,THE ARCHIPELAGO TP,lower_single
42041,THE BLUE MOUNTAINS TP,lower_single
2011,THE NATION,lower_single
57040,THE NORTH SHORE TP,lower_single
57028,THESSALON TP,lower_single
54038,THORNLOE TP,lower_single
26037,THOROLD C,lower_single
58004,THUNDER BAY C,lower_single
32004,TILLSONBURG TP,lower_single
56027,TIMMINS C,lower_single
43068,TINY TP,lower_single
20002,TORONTO C,lower_single
14028,TRENT HILLS M,lower_single
15041,TRENT LAKES M,lower_single
12048,TUDOR AND CASHEL TP,lower_single
12027,TWEED M,lower_single
12001,TYENDINAGA TP,lower_single
18029,UXBRIDGE TP,lower_single
56070,VAL RITA HARTY TP,lower_single
19028,VAUGHAN C,lower_single
26014,WAINFLEET TP,lower_single
38040,WARWICK TP,lower_single
43064,WASAGA BEACH TP,lower_single
30016,WATERLOO C,lower_single
57076,WAWA M,lower_single
26032,WELLAND C,lower_single
30024,WELLESLEY TP,lower_single
23020,WELLINGTON NORTH TP,lower_single
34035,WEST ELGIN M,lower_single
42004,WEST GREY M,lower_single
26021,WEST LINCOLN TP,lower_single
48050,WEST NIPISSING M,lower_single
31017,WEST PERTH M,lower_single
7033,WESTPORT TP,lower_single
18009,WHITBY TP,lower_single
19044,WHITCHURCH STOUFFVILLE TP,lower_single
57091,WHITE RIVER TP,lower_single
49039,WHITESTONE M,lower_single
47050,WHITEWATER REGION TP,lower_single
30018,WILMOT TP,lower_single
37039,WINDSOR C,lower_single
